ID_ADHERENT;ID_SECTEUR;ID_RECETTE;ID_ACTIVITE;ID_ADH_DELEGUE;IS_DELEGUE;IS_IMPOSABLE;ID_FISCAL;NOM_PRENOM_RS;PERS_PHYS;CODE_TELEPHONE;NUM_FAX;NUM_TEL;EMAIL;FORME_JURIDIQUE;NUM_REG_COM;VILLE_REG_COM;ADR_IMPOSITION;NOM_RESPONSABLE;QUALITE_RESP;CODE_CIN_ADH;NUM_CIN_ADHERENT;ADHERENT_ESERV;DATE_ADHESION;DELETED;DATE_MAJ;USER_MAJ;NUM_PATENTE;PROF;NUM_CNSS;CONSULTATION;SAISIE;VALIDATION;DEPOT;DATE_DELEGATION;ACTIF;DATE_MAJ_DELEG;USER_MAJ_DELEG;DATE_TRANSFERT_METIER;NOM;PRENOM
506926798;NULL;129;1213;NULL;0;NULL;12;NULL;12;NULL;NULL;NULL;NULL;12;12;12;12;NULL;NULL;12;12;NULL;NULL;0;NULL;NULL;12;NULL;12;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;17/10/2018;test;12
222222222;NULL;129;NULL;NULL;0;NULL;12;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ADRESSE;NULL;NULL;22;2365260;NULL;NULL;0;NULL;NULL;NULL;NULL;51508731;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;test;bouyebra
222222224;NULL;129;NULL;NULL;0;NULL;12;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ADRESSE;NULL;NULL;22;2365260;NULL;NULL;0;NULL;NULL;NULL;NULL;51508731;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;test;bouyebra
222222226;NULL;129;NULL;NULL;0;NULL;12;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ADRESSE;NULL;NULL;22;2365260;NULL;NULL;0;NULL;NULL;NULL;NULL;51508731;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;test;bouyebra
222222227;NULL;129;NULL;NULL;0;NULL;12;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ADRESSE;NULL;NULL;22;2365260;NULL;NULL;0;NULL;NULL;NULL;NULL;51508731;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;test;bouyebra
222222228;NULL;129;NULL;NULL;0;NULL;12;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ADRESSE;NULL;NULL;22;2365260;NULL;NULL;0;NULL;NULL;NULL;NULL;51508731;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;test;bouyebra
222222229;NULL;129;NULL;NULL;0;NULL;12;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ADRESSE;NULL;NULL;22;2365260;NULL;NULL;0;NULL;NULL;NULL;NULL;51508731;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;test;bouyebra
2.0023E+12;NULL;129;NULL;NULL;0;NULL;12;;1;NULL;NULL;NULL;NULL;11;;NULL;ADRESSE;NULL;NULL;;2371179;NULL;NULL;0;NULL;NULL;NULL;NULL;76310412;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;51008015 PRENOM;51008015 PRENOM
2.0023E+12;NULL;129;NULL;NULL;0;NULL;12;;1;NULL;NULL;NULL;NULL;11;;NULL;ADRESSE;NULL;NULL;;2371179;NULL;NULL;0;NULL;NULL;NULL;NULL;76310412;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;51008015 PRENOM;51008015 PRENOM
2.0023E+12;NULL;129;NULL;NULL;0;NULL;12;;1;NULL;NULL;NULL;NULL;11;;NULL;ADRESSE;NULL;NULL;fd;2371179;NULL;NULL;0;NULL;NULL;NULL;NULL;76310412;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;51008015 PRENOM;51008015 PRENOM
